"Nome" "Pública ou Privada" "Estado" "Ranking" "RUF"
"146" "Universidade Nilton Lins" "Privada" "AM" 161 161
"147" "Universidade Estadual do Vale do AcaraÃº" "Estadual" "CE" 130 130
"148" "Universidade Estadual do Rio Grande do Sul" "Estadual" "RS" 155 155
"149" "Universidade Metropolitana de Santos" "Privada" "SP" 162 162
"150" "Universidade Regional Integrada do Alto Uruguai e das MissÃµes" "Privada" "RS" 145 145
"151" "Universidade Federal do AmapÃ¡" "Federal" "AP" 149 149
"152" "Universidade do Oeste de Santa Catarina" "Privada" "SC" 148 148
"153" "Universidade CatÃ³lica de PetrÃ³polis" "Privada" "RJ" 154 154
"154" "Universidade Castelo Branco" "Privada" "RJ" 156 156
"155" "Universidade Brasil" "Privada" "SP" 151 151
"156" "Universidade Estadual do MaranhÃ£o" "Estadual" "MA" 150 150
"157" "Universidade do Vale do SapucaÃ­" "Privada" "MG" 163 163
"158" "Universidade Regional do Cariri" "Estadual" "CE" 143 143
"159" "Universidade ComunitÃ¡ria da RegiÃ£o de ChapecÃ³" "Privada" "SC" 158 158
"160" "Universidade Presidente AntÃ´nio Carlos" "Privada" "MG" 167 167
"161" "Universidade de ItaÃºna" "Privada" "MG" 153 153
"162" "Universidade Anhanguera" "Privada" "MS" 152 152
"163" "Universidade de Araraquara" "Privada" "SP" 157 157
"164" "Universidade CÃ¢ndido Mendes" "Privada" "RJ" 164 164
"165" "Universidade Vassouras" "Privada" "RJ" 160 160
"166" "Universidade do Contestado" "Privada" "SC" 166 166
"167" "Universidade Federal do Sul e Sudeste do ParÃ¡" "Federal" "PA" 168 168
"168" "Universidade de Rio Verde" "Municipal" "GO" 170 170
"169" "Universidade Estadual de Roraima" "Estadual" "RR" 169 169
"170" "Universidade de Cruz Alta" "Privada" "RS" 165 165
"171" "Universidade do Estado do AmapÃ¡" "Estadual" "AP" 171 171
